"","K225","K040","K041","K221","K042","K043","K044","K045","K046","K047","K049","K053","K054","K055","K057","K056","K058","K059","K060","K061","K062","K063","K064","K208","K065","K066","K067","K068","K069","K070","K071","K072","K073","K074","K075","K200","K076","K077","K078","K214","K079","K080","K081","K082","K083","K084","K085","K211","K086","K087","K088","K089","K090_3","K090_1","K090_2","K091","K092","K093","K094","K095","K096","K097","K098","K099","K100","K101","K102","K103","K104","K105","K106","K226","K138","K130","K118","K110","K132","K113","K114","K119","K115","K120","K174","K121","K133","K131","K149","K150","K153","K134","K154","K155","K167","K107","K108","K156","K157","K158","K122","K123","K135","K171","K151","K143","K152","K139","K141","K172","K116","K124","K125","K202","K159","K111","K144","K142","K126","K173","K145","K146","K168","K177","K140","K148","K169","K117","K160","K147","K109","K127","K217","K128","K161","K112","K212","K136","K137","K176","K162","K163","K129","K166","K164","K170","K205","K165"
"1985/10/2",0,0,0,0,0,0,0,0,0,0,0,0,13477643,0,0,2685417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/11/6",0,0,0,0,0,389163,0,0,0,0,0,0,1681812,0,0,5178501,648969,120948,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31538,0,0,0,0,0,0,0,9935,0,35338,0,0,11343
"1985/12/12",0,0,0,0,0,78685,0,0,0,0,0,0,1126351,0,0,7096562,0,361186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,0,1211257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813683,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32693,45391,0,0,0,0,0,0,0,0,26171,0,0,0
"1986/1/8",0,0,0,0,0,306093,0,0,0,0,0,0,0,0,0,0,0,1568179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18689,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/2/5",0,0,0,0,0,56822,0,0,0,0,0,0,563176,0,0,0,0,60474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0,0,231732,0,0,0,0,0,0,0,0,0,0,0,1688298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241808,0,0,0,0,0,0,0,0,0,0,21984,0,0,0,0,0,0,0,0,0,0,0,951785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10461,0,0,0
"1986/4/9",0,0,0,0,0,1241849,0,0,0,0,0,0,2244988,0,0,0,0,45592329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6558745,0,322780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7378,0,0,0,0,2172310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37361,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/5/7",0,0,0,0,0,139892,0,0,0,0,0,0,2244988,0,0,838519,0,8925281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873008,0,645560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20580,0,0,0,0,0,0,0,0,0,1010913,0,0,0,0,0,0,0,0,0,83744,0,0,0
"1986/6/11",0,0,0,0,0,209868,0,0,0,0,0,0,0,0,0,383349,0,3859558,0,0,0,0,0,0,0,0,0,0,0,0,0,562703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14057213,0,2260570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7378,0,0,0,0,3260332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440137,60590,0,0,0,0,0,0,0,0,0,0,0,0
"1986/7/9",0,0,0,0,0,69556,0,0,0,0,0,0,0,0,0,0,0,758974,0,0,101168,0,0,0,0,0,0,0,0,0,0,279901,0,0,0,0,996600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1926697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107950,0,0,0,0,0,0,0,0,0,0,0,0,145580,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/8/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121585,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/9/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/10/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9336,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/11/12",0,0,0,0,0,260924,0,0,0,0,0,0,8933663,0,0,10308850,0,2469818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130246,0,0,0,0,0,0,0,0,0,20815,0,0,0
"1986/12/10",0,0,0,0,0,226086,0,0,0,0,0,0,42446473,0,0,7909539,0,10075941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3612121,0,0,0,0,0,0,0,0,130246,0,0,0,0,0,0,0,0,0,41629,0,0,0
"1987/1/7",0,0,0,0,0,122413,0,0,0,0,0,0,29200273,0,0,1293689,0,15197167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217019,0,0,0,0,0,0,0,0,0,0,0,0,224594,0,0,0,0,0,0,0,0,0,20922,0,0,0
"1987/3/4",0,0,0,0,0,419736,0,0,0,0,0,0,4489976,0,0,0,0,36908115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404756,0,645560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18672,0,0,0,0,0,0,0,0,0,20922,0,0,0
"1987/4/15",0,0,0,0,0,332281,0,0,0,0,0,0,4489976,0,0,0,0,36184914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29984,0,0,0,0,0,0,0,0,108509,0,0,0,0,0,0,0,0,0,0,0,0,748482,0,0,0,0,0,0,0,0,0,251232,0,0,0
"1987/5/13",0,0,0,0,0,437275,0,0,0,0,0,0,0,0,0,0,0,7478050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5153989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729927,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/6/10",0,0,0,0,0,17479,0,0,0,0,0,0,2244988,0,0,0,0,241067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13119100,0,645560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393063,0,0,0,0,0,0,0,0,0,20922,0,0,0
"1987/7/8",0,0,0,0,0,209868,0,0,0,0,0,0,0,0,0,0,0,853824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370928,60590,0,0,0,0,0,0,0,0,0,0,0,0
"1987/8/5",0,0,0,0,0,104934,0,0,0,0,0,0,1118637,0,0,646845,0,361186,0,0,0,0,0,0,0,0,0,0,0,0,0,140676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701573,0,807505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370928,30191,0,0,0,0,0,0,19734,0,0,0,0,45363
"1987/9/9",0,0,0,0,0,0,0,0,0,0,0,0,1118637,0,0,856253,2586986,241067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73167,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/10/14",0,0,0,0,0,0,0,0,0,0,0,0,17967618,0,0,1918061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1937790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/11/11",0,0,0,0,0,96164,0,0,0,0,0,0,2244988,0,0,0,0,603082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16453,0,0,0,0,0,0,0,0,0,185416,30191,0,0,0,0,0,0,0,0,0,0,0,0
"1987/12/9",0,0,0,0,0,550919,0,0,0,0,0,0,2244988,0,0,0,0,3376596,0,0,50846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341212,0,0,0,0,0,0,0,0,0,52342,0,0,0
"1988/1/13",0,0,0,0,0,253596,0,0,0,0,0,0,2244988,0,0,0,0,17127360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936504,0,807505,0,0,0,603954,0,0,0,0,0,0,0,0,0,0,0,0,0,14756,0,0,0,0,270606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25088,0,0,0,0,0,0,0,0,0,0,15598,0,0,0,0,14992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934632,0,0,0,0,0,0,0,0,0,10461,0,0,0
"1988/2/10",0,0,0,0,0,174910,0,0,0,0,0,0,0,0,0,0,0,11649787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215876,0,2745294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31304,0,0,0,0,0,0,0,0,11534,0,9826,1009496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65461,0,0,0,0,0,0,0,0,0,20922,0,0,22677
"1988/3/9",0,0,0,0,0,288554,0,0,0,0,0,0,0,0,0,809111,0,4719548,0,0,0,0,0,0,0,0,0,0,0,0,0,562703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35611283,0,2260570,7749583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29511,0,0,0,0,4289241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25088,0,0,0,0,0,0,0,0,0,0,62608,0,0,0,0,0,0,0,0,0,0,118386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82503,0,0,0,0,0,0,0,0,0,0,0,0,22677
"1988/6/8",0,0,0,0,0,415411,0,0,0,0,0,0,0,0,0,0,0,3799085,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,8016850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3633771,0,0,0,304059,0,0,0,0,0,0,0,0,0,0,0,0,0,40109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121451,7496,0,0,0,0,0,0,0,0,0,0,0,0
"1988/7/13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175966,0,0,0,0,351012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14020,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988/8/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202278,0,29823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
